,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
1,Charlottenburg-Wilmersdorf,52.497058,13.29649,Hasenschule,52.49941619214703,13.31660843083513,1388,General College & University
2,Charlottenburg-Wilmersdorf,52.497058,13.29649,Business Trends Academy (BTA),52.49113752892685,13.300032979516107,701,General College & University
3,Charlottenburg-Wilmersdorf,52.497058,13.29649,NLP-Zentrum Berlin,52.48886935759004,13.322746753692627,1999,General College & University
8,Charlottenburg-Wilmersdorf,52.497058,13.29649,cityacademy GmbH,52.507249,13.306568,1324,General College & University
9,Charlottenburg-Wilmersdorf,52.497058,13.29649,Stiftung Wissenschaft und Politik (SWP),52.49811613447975,13.32145813136377,1696,General College & University
12,Charlottenburg-Wilmersdorf,52.497058,13.29649,7.ISS Ringstrasse,52.48976937929825,13.31950071510505,1758,General College & University
17,Charlottenburg-Wilmersdorf,52.497058,13.29649,bildwissenschaft & visual culture,52.502713,13.307333,967,University
19,Charlottenburg-Wilmersdorf,52.497058,13.29649,DLRG Lehr- und Fortbildungsstätte,52.483602,13.304036,1582,General College & University
22,Charlottenburg-Wilmersdorf,52.497058,13.29649,eski okul,52.509562,13.31353,1808,General College & University
28,Charlottenburg-Wilmersdorf,52.497058,13.29649,Die Neue Schule,52.487719110944035,13.31847580648226,1816,General College & University
31,Charlottenburg-Wilmersdorf,52.497058,13.29649,Social Network Akademie,52.501210677515445,13.293784829007093,497,General College & University
39,Charlottenburg-Wilmersdorf,52.497058,13.29649,bei bel,52.503414154052734,13.304336547851562,885,University
45,Charlottenburg-Wilmersdorf,52.497058,13.29649,NLP & Hypnose Institut,52.499817549610114,13.292985657317141,388,General College & University
52,Friedrichshain-Kreuzberg,52.5015,13.43512,August-Sander-Schule,52.50237743363563,13.450462818145752,1044,General College & University
60,Friedrichshain-Kreuzberg,52.5015,13.43512,Goldnetz Coaching- Und Bildungszentrum,52.511877,13.414947,1789,General College & University
61,Friedrichshain-Kreuzberg,52.5015,13.43512,Segelschule Weber,52.504983,13.408009,1877,General College & University
63,Friedrichshain-Kreuzberg,52.5015,13.43512,IFAO,52.506904,13.426925,818,General College & University
66,Friedrichshain-Kreuzberg,52.5015,13.43512,bbw Akademie für Betriebswirtschaftliche Weiterbildung,52.50926887255363,13.452721070776843,1473,General College & University
72,Friedrichshain-Kreuzberg,52.5015,13.43512,Die Johanniter Azb,52.511784,13.419745,1547,General College & University
80,Friedrichshain-Kreuzberg,52.5015,13.43512,AID Akademie für Illustration und Design Berlin,52.50198352398819,13.410877808831122,1643,General College & University
87,Friedrichshain-Kreuzberg,52.5015,13.43512,Berliner Schule für Schauspiel,52.512703869812924,13.455528761644992,1862,General College & University
88,Friedrichshain-Kreuzberg,52.5015,13.43512,Hörsaal der Fernuni Hagen,52.49724380849507,13.453295230865479,1319,University
89,Friedrichshain-Kreuzberg,52.5015,13.43512,Pangea Tüdesb Bildungszentrum,52.489746904586,13.424136355057586,1505,University
90,Friedrichshain-Kreuzberg,52.5015,13.43512,LiMA Linke Medienakademie e.V.,52.51309616650237,13.439706991115125,1327,General College & University
93,Friedrichshain-Kreuzberg,52.5015,13.43512,DEKRA Hochschule,52.50279342477447,13.452247480732433,1169,University
94,Friedrichshain-Kreuzberg,52.5015,13.43512,Glycan Forum Berlin,52.499121,13.450808,1095,General College & University
95,Friedrichshain-Kreuzberg,52.5015,13.43512,"FAA Bildungsgesellschaft mbH, Nord",52.49385877689107,13.446727204036454,1158,General College & University
100,Lichtenberg,52.514581,13.498392,Max-Taut-Schule | OSZ Gebäude-Umwelt-Technik,52.500966726151646,13.486254215240479,1724,General College & University
114,Lichtenberg,52.514581,13.498392,datenklang,52.50728223904365,13.476276130861695,1704,General College & University
120,Lichtenberg,52.514581,13.498392,Evangelische Schule Lichtenberg,52.50500828304849,13.5132688547445,1466,College & University
122,Lichtenberg,52.514581,13.498392,"Kinderladen ""Die wilden Zehn""",52.51309938597829,13.481647569075667,1146,General College & University
125,Lichtenberg,52.514581,13.498392,BVA,52.51801682619963,13.490037245004917,683,General College & University
133,Lichtenberg,52.514581,13.498392,H:G Hochschule für Gesundheit und Sport,52.523600205650524,13.485973578812814,1309,General College & University
137,Lichtenberg,52.514581,13.498392,Kiezspatzen,52.51200566050478,13.49624688180628,321,College & University
141,Lichtenberg,52.514581,13.498392,Steinbeis Hochschule Berlin (SHB),52.509524794896734,13.473688124877677,1765,General College & University
143,Marzahn-Hellersdorf,52.53972,13.58428,FernUni am Küchentisch,52.540803,13.556813,1863,University
146,Marzahn-Hellersdorf,52.53972,13.58428,Wetterstation Marzahn,52.547908782958984,13.58594799041748,918,University
147,Marzahn-Hellersdorf,52.53972,13.58428,Haus Sonneneck Kids & Co,52.5374046195786,13.594237848076755,721,General College & University
149,Marzahn-Hellersdorf,52.53972,13.58428,BIB Kreativitätszentrum Berlin gGmbH,52.525150299072266,13.591544151306152,1694,General College & University
150,Marzahn-Hellersdorf,52.53972,13.58428,Kids & Co,52.53741463046462,13.594379436814796,730,General College & University
152,Marzahn-Hellersdorf,52.53972,13.58428,Mozartschule,52.53648388438984,13.597718387363123,978,General College & University
153,Marzahn-Hellersdorf,52.53972,13.58428,Buntes Haus,52.540691346861784,13.606961647277684,1539,General College & University
157,Marzahn-Hellersdorf,52.53972,13.58428,Jean-Piaget-Schule,52.54566420356639,13.596470653761815,1057,General College & University
163,Marzahn-Hellersdorf,52.53972,13.58428,European Bible Training Center,52.541448,13.595704,797,University
166,Marzahn-Hellersdorf,52.53972,13.58428,Regenbogenkita,52.532254036516015,13.607287223902842,1765,General College & University
170,Marzahn-Hellersdorf,52.53972,13.58428,Polizeihochschule Berlin,52.52916228537123,13.562366280001775,1892,General College & University
173,Mitte,52.51674,13.36679,Humboldt-Universität zu Berlin,52.518154,13.393635,1825,University
174,Mitte,52.51674,13.36679,Institut Kunst- und Bildegeschichte,52.52027,13.3940325,1886,University
185,Mitte,52.51674,13.36679,HU Campus Nord,52.525725901775196,13.382892608642576,1479,General College & University
188,Mitte,52.51674,13.36679,Wave Akademie,52.52973065629848,13.364009766213309,1458,General College & University
190,Mitte,52.51674,13.36679,PC • College,52.504084159651526,13.383475311968436,1806,General College & University
193,Mitte,52.51674,13.36679,Berlin Medical College,52.51384428313059,13.389651775360107,1581,General College & University
198,Mitte,52.51674,13.36679,Berlin University of Digital Sciences BUDS,52.523782,13.34265,1813,University
201,Mitte,52.51674,13.36679,Zentrum für transdisziplinäre Geschlechterstudien,52.518578715650754,13.393902233816831,1847,University
207,Mitte,52.51674,13.36679,Die beste FACHschüle,52.528369,13.387927,1930,General College & University
209,Mitte,52.51674,13.36679,Berliner Institut für Gesundheitsforschung,52.52511,13.37932,1260,General College & University
212,Mitte,52.51674,13.36679,Melo Schule,52.49977472032822,13.363038854252295,1905,University
219,Mitte,52.51674,13.36679,Insitut Für Slawistik,52.518375,13.3867235,1362,University
220,Mitte,52.51674,13.36679,BBA - Akademie der Immobilienwirtschaft,52.50130619112458,13.368420115722927,1721,General College & University
221,Mitte,52.51674,13.36679,Bts der BA Berlin Mitte,52.508259,13.389922,1829,University
226,Neukölln,52.4802,13.43364,GPB-Berlin Neukölln,52.464501,13.44274,1853,General College & University
227,Neukölln,52.4802,13.43364,Deutsch Türkisches Zentrum,52.481069,13.434939,130,General College & University
235,Neukölln,52.4802,13.43364,BarAkademie Berlin,52.46856849693872,13.452293559874589,1810,General College & University
242,Neukölln,52.4802,13.43364,"ABBV - Akademie für Bildung, Beruf und Verkehr",52.46623337913884,13.442866802215574,1675,General College & University
244,Neukölln,52.4802,13.43364,Pangea Tüdesb Bildungszentrum,52.489746904586,13.424136355057586,1242,University
249,Neukölln,52.4802,13.43364,"FAA Bildungsgesellschaft mbH, Nord",52.49385877689107,13.446727204036454,1760,General College & University
252,Neukölln,52.4802,13.43364,Babylonia,52.49722113185073,13.442081786259845,1979,General College & University
258,Neukölln,52.4802,13.43364,Hermann Boddin Grundschule,52.48055173224832,13.431371270179106,158,General College & University
264,Neukölln,52.4802,13.43364,mentoring academy,52.46828615742163,13.444098506175044,1503,General College & University
265,Neukölln,52.4802,13.43364,ABT gGmbH - Akademie für berufliches Training,52.49320010453,13.44586448954465,1667,General College & University
268,Neukölln,52.4802,13.43364,Jodelschule Kreuzberg,52.49573054798334,13.434645705204561,1730,General College & University
271,Neukölln,52.4802,13.43364,Röntgenschule Neukölln (Integrierte Sekundarschule),52.48889548940225,13.449540138244629,1448,General College & University
272,Pankow,52.57105,13.40497,Ecla,52.583582490382014,13.398387138386097,1464,University
276,Pankow,52.57105,13.40497,Quinoa Schule,52.566063,13.381054,1710,General College & University
277,Pankow,52.57105,13.40497,Bard College Berlin,52.58378751926042,13.39393371917892,1602,General College & University
279,Pankow,52.57105,13.40497,Helen Doron Early and Teen English Pankow,52.56784993845848,13.412155637149194,602,General College & University
280,Pankow,52.57105,13.40497,Kaspar-Hauser-Therapeutikum,52.57263752562654,13.398856271602316,449,General College & University
285,Pankow,52.57105,13.40497,Carl-Kraemer-Schule,52.560968587574344,13.382011711110412,1916,General College & University
292,Pankow,52.57105,13.40497,elisabeth-christinen-grundschule,52.58317371166111,13.420138599683039,1695,General College & University
294,Pankow,52.57105,13.40497,Schachklub International Berlin 2010 E.v.,52.55736,13.388789,1876,General College & University
306,Reinickendorf,52.56755,13.33165,D&B Dienstleistung und Bildung,52.56666055287901,13.316925597731299,1001,General College & University
308,Reinickendorf,52.56755,13.33165,Raum 203,52.571708,13.351331,1409,General College & University
314,Reinickendorf,52.56755,13.33165,Institut für forensische Psychologie,52.58305387626675,13.330044704426413,1729,General College & University
315,Reinickendorf,52.56755,13.33165,Architecture Center Ltd,52.5722975992228,13.323930948972702,743,General College & University
316,Reinickendorf,52.56755,13.33165,Berufsvorbereitung,52.57791095616145,13.354057929788437,1904,General College & University
324,Spandau,52.55009,13.200356,Grundschule Am Wasserwerk,52.54946024948029,13.17499131207458,1718,General College & University
329,Spandau,52.55009,13.200356,Charlie Rivel Grundschule,52.54431555897321,13.197971211419262,662,General College & University
340,Steglitz-Zehlendorf,52.44364,13.22908,Institut für Lebensmittelhygiene - FU Berlin,52.427148108686076,13.233138532619277,1856,University
343,Steglitz-Zehlendorf,52.44364,13.22908,mts training center,52.433349609375,13.248130798339844,1727,University
350,Steglitz-Zehlendorf,52.44364,13.22908,Peter-Lenné-Schule | OSZ Agrarwirtschaft,52.442169495601945,13.24929913484065,1381,General College & University
353,Tempelhof-Schöneberg,52.44763,13.38535,DAA Deutsche Angestellten-Akademie GmbH,52.4578282528525,13.392956739068355,1247,General College & University
355,Tempelhof-Schöneberg,52.44763,13.38535,HFH-Hamburger Fernhochschule,52.458076,13.393502,1287,University
358,Tempelhof-Schöneberg,52.44763,13.38535,Avaya,52.43631314153574,13.385933523415902,1260,University
376,Treptow-Köpenick,52.445817,13.57458,Emmy-noether-gymasium,52.443188899436436,13.589649159472453,1063,College & University
