,Borough,Neighborhood,Population,Latitude,Longitude,Uni&College,Shopping Mall,Movie Theater,Stadium,Train Station,Parking,Crime_numbers,Male_Population,Female_Population,Foreign_Population,German_Population,Fast_Food_Population,Bistro_Population,Casual_Dining_Population,Fine_Dining_Population
0,Berlin,Charlottenburg-Wilmersdorf,341327,52.497058,13.29649,13,8,6,2,3,10,49791,165435,175892,85244,256083,83084,96713,120460,140976
1,Berlin,Friedrichshain-Kreuzberg,289120,52.5015,13.43512,14,8,22,6,3,17,60290,148539,140581,78890,210230,97452,128671,135440,124220
2,Berlin,Lichtenberg,290493,52.514581,13.498392,8,4,1,2,4,6,27485,144491,146002,47671,242822,79074,95324,105952,113319
3,Berlin,Marzahn-Hellersdorf,268739,52.53972,13.58428,11,6,2,0,0,2,23457,133358,135381,28322,240417,60501,73247,90986,114086
4,Berlin,Mitte,383457,52.51674,13.36679,14,8,13,2,4,32,84357,199120,184337,131070,252387,133217,151947,156461,150576
5,Berlin,Neukölln,330786,52.4802,13.43364,12,9,21,2,2,6,43618,164980,165806,84710,246076,95775,113358,127092,131353
6,Berlin,Pankow,407039,52.57105,13.40497,8,3,1,0,1,1,36710,199899,207140,56249,350790,103104,143240,178659,180744
7,Berlin,Reinickendorf,264826,52.56755,13.33165,5,1,2,2,1,4,27420,130170,134656,47217,217609,61167,64847,85339,103746
8,Berlin,Spandau,243080,52.55009,13.200356,2,3,5,2,2,5,24751,118913,124167,47504,195576,58342,62396,80103,95568
9,Berlin,Steglitz-Zehlendorf,308077,52.44364,13.22908,3,0,0,1,0,0,24135,145723,162354,44797,263280,65581,71007,99449,123102
10,Berlin,Tempelhof-Schöneberg,351429,52.44763,13.38535,3,4,2,2,1,2,39829,172330,179099,71547,279882,87453,100629,125624,145188
11,Berlin,Treptow-Köpenick,269775,52.445817,13.57458,1,3,0,6,0,0,24878,132290,137485,25251,244524,63781,79122,98515,110137
